Landsat Product Identifier L1,Landsat Scene Identifier,Date Acquired,Collection Category,Collection Number,WRS Path,WRS Row,Nadir/Off Nadir,Roll Angle,Date Product Generated L1,Land Cloud Cover,Scene Cloud Cover L1,Start Time,Stop Time,Station Identifier,Day/Night Indicator,Ground Control Points Model,Ground Control Points Version,Geometric RMSE Model,Geometric RMSE Model X,Geometric RMSE Model Y,Image Quality,Processing Software Version,Sun Elevation L0RA,Sun Azimuth L0RA,TIRS SSM Model,Data Type L1,Sensor Identifier,Satellite,Panchromatic Lines,Panchromatic Samples,Reflective Lines,Reflective Samples,Thermal Lines,Thermal Samples,Product Map Projection L1,UTM Zone,Datum,Ellipsoid,Grid Cell Size Panchromatic,Grid Cell Size Reflective,Grid Cell Size Thermal,Bias Parameter File Name OLI,Bias Parameter File Name TIRS,Calibration Parameter File,RLUT File Name,Scene Center Lat DMS,Scene Center Long DMS,Corner Upper Left Lat DMS,Corner Upper Left Long DMS,Corner Upper Right Lat DMS,Corner Upper Right Long DMS,Corner Lower Left Lat DMS,Corner Lower Left Long DMS,Corner Lower Right Lat DMS,Corner Lower Right Long DMS,Scene Center Latitude,Scene Center Longitude,Corner Upper Left Latitude,Corner Upper Left Longitude,Corner Upper Right Latitude,Corner Upper Right Longitude,Corner Lower Left Latitude,Corner Lower Left Longitude,Corner Lower Right Latitude,Corner Lower Right Longitude,Display ID,Entity ID
LC08_L1TP_089083_20191106_20200825_02_T1,LC80890832019310LGN00,2019/11/06,T1,2, 089, 083,NADIR,   0.000,2020/08/25,   0.03,   0.02,2019-11-06 23:43:49.866635,2019-11-06 23:44:21.636634,LGN,DAY,934,5,    5.257,    3.235,    4.144,9,LPGS_15.3.1c,59.45657641,62.90574142,FINAL,OLI_TIRS_L1TP,OLI_TIRS,8,15501,15401,7751,7701,7751,7701,UTM,56,WGS84,WGS84,15.00,30.00,30.00,LO8BPF20191106231446_20191106235700.02,LT8BPF20191028112048_20191113025626.02,LC08CPF_20191001_20191219_02.01,LC08RLUT_20150303_20431231_02_01.h5,33°10'38.10"S,151°47'17.56"E,32°06'49.10"S,150°34'41.48"E,32°08'12.52"S,153°01'35.44"E,34°12'32.04"S,150°31'11.50"E,34°14'02.33"S,153°01'37.74"E,-33.17725, 151.78821,-32.11364, 150.57819,-32.13681, 153.02651,-34.20890, 150.51986,-34.23398, 153.02715,LC08_L1TP_089083_20191106_20200825_02_T1,LC80890832019310LGN00
LC08_L1TP_089084_20191106_20200825_02_T1,LC80890842019310LGN00,2019/11/06,T1,2, 089, 084,NADIR,   0.000,2020/08/25,   0.04,   0.01,2019-11-06 23:44:13.816978,2019-11-06 23:44:45.586977,LGN,DAY,958,5,    5.341,    3.395,    4.123,9,LPGS_15.3.1c,58.56436740,61.15880921,FINAL,OLI_TIRS_L1TP,OLI_TIRS,8,15481,15361,7741,7681,7741,7681,UTM,56,WGS84,WGS84,15.00,30.00,30.00,LO8BPF20191106231446_20191106235700.02,LT8BPF20191028112048_20191113025626.02,LC08CPF_20191001_20191219_02.01,LC08RLUT_20150303_20431231_02_01.h5,34°36'39.20"S,151°23'19.32"E,33°32'38.69"S,150°10'03.25"E,33°34'33.56"S,152°38'55.39"E,35°38'07.58"S,150°05'44.27"E,35°40'11.75"S,152°38'23.24"E,-34.61089, 151.38870,-33.54408, 150.16757,-33.57599, 152.64872,-35.63544, 150.09563,-35.66993, 152.63979,LC08_L1TP_089084_20191106_20200825_02_T1,LC80890842019310LGN00
LC08_L1TP_090083_20191113_20200825_02_T1,LC80900832019317LGN00,2019/11/13,T1,2, 090, 083,NADIR,   0.000,2020/08/25,   1.07,   1.07,2019-11-13 23:49:59.247567,2019-11-13 23:50:31.017566,LGN,DAY,1230,5,    5.732,    3.418,    4.601,9,LPGS_15.3.1c,60.53654182,66.20794694,FINAL,OLI_TIRS_L1TP,OLI_TIRS,8,15381,15241,7691,7621,7691,7621,UTM,56,WGS84,WGS84,15.00,30.00,30.00,LO8BPF20191113232119_20191114000158.02,LT8BPF20191113051008_20191128101151.02,LC08CPF_20191001_20191219_02.01,LC08RLUT_20150303_20431231_02_01.h5,33°10'37.09"S,150°15'01.12"E,32°06'29.88"S,149°04'19.63"E,32°09'37.12"S,151°29'34.91"E,34°11'03.23"S,148°58'42.06"E,34°14'25.80"S,151°27'25.06"E,-33.17697, 150.25031,-32.10830, 149.07212,-32.16031, 151.49303,-34.18423, 148.97835,-34.24050, 151.45696,LC08_L1TP_090083_20191113_20200825_02_T1,LC80900832019317LGN00
LC08_L1TP_090084_20191113_20200825_02_T1,LC80900842019317LGN00,2019/11/13,T1,2, 090, 084,NADIR,   0.000,2020/08/25,   0.05,   0.05,2019-11-13 23:50:23.19791,2019-11-13 23:50:54.967909,LGN,DAY,1366,5,    5.752,    3.591,    4.494,9,LPGS_15.3.1c,59.71024953,64.28999546,FINAL,OLI_TIRS_L1TP,OLI_TIRS,8,15901,15801,7951,7901,7951,7901,UTM,55,WGS84,WGS84,15.00,30.00,30.00,LO8BPF20191113232119_20191114000158.02,LT8BPF20191113051008_20191128101151.02,LC08CPF_20191001_20191219_02.01,LC08RLUT_20150303_20431231_02_01.h5,34°36'38.02"S,149°51'02.95"E,33°33'41.44"S,148°32'22.09"E,33°30'12.67"S,151°05'19.64"E,35°42'41.40"S,148°34'47.03"E,35°38'55.32"S,151°11'43.40"E,-34.61056, 149.85082,-33.56151, 148.53947,-33.50352, 151.08879,-35.71150, 148.57973,-35.64870, 151.19539,LC08_L1TP_090084_20191113_20200825_02_T1,LC80900842019317LGN00
LC08_L1TP_090083_20191215_20201022_02_T1,LC80900832019349LGN01,2019/12/15,T1,2, 090, 083,NADIR,   0.000,2020/10/22,   8.90,   8.90,2019-12-15 23:49:55.690456,2019-12-15 23:50:27.460455,LGN,DAY,929,5,    6.522,    3.844,    5.269,9,LPGS_15.3.1,61.08631027,78.06296163,FINAL,OLI_TIRS_L1TP,OLI_TIRS,8,15381,15241,7691,7621,7691,7621,UTM,56,WGS84,WGS84,15.00,30.00,30.00,LO8BPF20191215232514_20191216001106.01,LT8BPF20191212171039_20191212193131.01,LC08CPF_20191001_20191219_02.01,LC08RLUT_20150303_20431231_02_01.h5,33°10'37.60"S,150°15'24.34"E,32°06'30.56"S,149°04'42.46"E,32°09'37.40"S,151°29'57.80"E,34°11'03.98"S,148°59'05.46"E,34°14'26.12"S,151°27'48.49"E,-33.17711, 150.25676,-32.10849, 149.07846,-32.16039, 151.49939,-34.18444, 148.98485,-34.24059, 151.46347,LC08_L1TP_090083_20191215_20201022_02_T1,LC80900832019349LGN01
LC08_L1TP_090083_20191231_20200824_02_T1,LC80900832019365LGN00,2019/12/31,T1,2, 090, 083,NADIR,   0.000,2020/08/24,   2.13,   2.14,2019-12-31 23:49:51.307559,2019-12-31 23:50:23.077559,LGN,DAY,1122,5,    6.345,    3.528,    5.274,9,LPGS_15.3.1c,59.35946698,79.30706422,FINAL,OLI_TIRS_L1TP,OLI_TIRS,8,15361,15261,7681,7631,7681,7631,UTM,56,WGS84,WGS84,15.00,30.00,30.00,LO8BPF20191231232247_20200101001102.01,LT8BPF20191222032639_20200101011239.01,LC08CPF_20191220_20191231_02.01,LC08RLUT_20150303_20431231_02_01.h5,33°10'37.09"S,150°15'55.84"E,32°06'31.28"S,149°05'05.32"E,32°09'37.80"S,151°30'32.18"E,34°10'55.02"S,148°59'29.29"E,34°14'16.80"S,151°28'23.84"E,-33.17697, 150.26551,-32.10869, 149.08481,-32.16050, 151.50894,-34.18195, 148.99147,-34.23800, 151.47329,LC08_L1TP_090083_20191231_20200824_02_T1,LC80900832019365LGN00
LC08_L1TP_089083_20200125_20200823_02_T1,LC80890832020025LGN00,2020/01/25,T1,2, 089, 083,NADIR,   0.000,2020/08/23,   6.62,   3.44,2020-01-25 23:43:34.74485,2020-01-25 23:44:06.514849,LGN,DAY,811,5,    5.588,    3.333,    4.485,9,LPGS_15.3.1c,55.43619349,74.52409322,FINAL,OLI_TIRS_L1TP,OLI_TIRS,8,15501,15381,7751,7691,7751,7691,UTM,56,WGS84,WGS84,15.00,30.00,30.00,LO8BPF20200125231519_20200126000021.01,LT8BPF20200125111337_20200209165113.01,LC08CPF_20191231_20200331_02.01,LC08RLUT_20150303_20431231_02_01.h5,33°10'38.06"S,151°48'45.90"E,32°06'50.83"S,150°36'13"E,32°08'12.48"S,153°02'55.57"E,34°12'33.91"S,150°32'45.20"E,34°14'02.29"S,153°02'59.82"E,-33.17724, 151.81275,-32.11412, 150.60361,-32.13680, 153.04877,-34.20942, 150.54589,-34.23397, 153.04995,LC08_L1TP_089083_20200125_20200823_02_T1,LC80890832020025LGN00
LC08_L1TP_090083_20200201_20200823_02_T1,LC80900832020032LGN00,2020/02/01,T1,2, 090, 083,NADIR,   0.000,2020/08/23,   8.36,   8.36,2020-02-01 23:49:42.898696,2020-02-01 23:50:14.668695,LGN,DAY,1036,5,    6.144,    3.594,    4.984,9,LPGS_15.3.1c,54.16831788,72.07407402,FINAL,OLI_TIRS_L1TP,OLI_TIRS,8,15361,15241,7681,7621,7681,7621,UTM,56,WGS84,WGS84,15.00,30.00,30.00,LO8BPF20200201232103_20200202000142.01,LT8BPF20200125111337_20200209165113.01,LC08CPF_20191231_20200331_02.01,LC08RLUT_20150303_20431231_02_01.h5,33°10'36.95"S,150°16'14.92"E,32°06'32"S,149°05'28.14"E,32°09'37.94"S,151°30'43.63"E,34°10'55.81"S,148°59'52.66"E,34°14'16.94"S,151°28'35.58"E,-33.17693, 150.27081,-32.10889, 149.09115,-32.16054, 151.51212,-34.18217, 148.99796,-34.23804, 151.47655,LC08_L1TP_090083_20200201_20200823_02_T1,LC80900832020032LGN00
